model_1,model_2,macro_f1_model_1,macro_f1_model_2,macro_f1_difference,bootstrap_mean_difference,ci_95_lower,ci_95_upper,n_bootstraps,random_seed
SVM,GPT-4.1-mini,0.5667311411992263,0.736298510086582,-0.16956736888735569,-0.1698681301011589,-0.23214220991038007,-0.10732967268850177,10000,42
Qwen2.5-7B,GPT-4.1-mini,0.6117570670254566,0.736298510086582,-0.12454144306112536,-0.12500861378011774,-0.179492402335234,-0.06968377902561305,10000,42
BETO,GPT-4.1-mini,0.6176105828854899,0.736298510086582,-0.11868792720109211,-0.11901406030025109,-0.17734575379649822,-0.06083379143028509,10000,42
RoBERTuito,GPT-4.1-mini,0.6225324987963409,0.736298510086582,-0.11376601129024111,-0.11425802877284107,-0.1700376813853631,-0.057882712506691573,10000,42
SVM,GPT-4o-mini,0.5667311411992263,0.6793506851374032,-0.11261954393817686,-0.11264367103671773,-0.17416330356766907,-0.05094383640222805,10000,42
Qwen2.5-7B,GPT-4o-mini,0.6117570670254566,0.6793506851374032,-0.06759361811194653,-0.0677841547156766,-0.11991022454983734,-0.017506605597276147,10000,42
BETO,GPT-4o-mini,0.6176105828854899,0.6793506851374032,-0.06174010225191329,-0.06178960123580997,-0.11921048959557883,-0.005205266295302007,10000,42
GPT-4o-mini,GPT-4.1-mini,0.6793506851374032,0.736298510086582,-0.05694782494917883,-0.057224459064441124,-0.09939086778806754,-0.015405741879383995,10000,42
RoBERTuito,GPT-4o-mini,0.6225324987963409,0.6793506851374032,-0.05681818634106228,-0.05703356970839994,-0.1104147895839372,-0.0026662634077164594,10000,42
SVM,RoBERTuito,0.5667311411992263,0.6225324987963409,-0.055801357597114576,-0.055610101328317785,-0.11432410691582803,0.0022954813553847818,10000,42
SVM,BETO,0.5667311411992263,0.6176105828854899,-0.05087944168626357,-0.050854069800907765,-0.10621526198617694,0.005041934426763714,10000,42
SVM,Qwen2.5-7B,0.5667311411992263,0.6117570670254566,-0.04502592582623033,-0.04485951632104115,-0.10538747484494908,0.017661332981453687,10000,42
RoBERTuito,Qwen2.5-7B,0.6225324987963409,0.6117570670254566,0.010775431770884247,0.010750585007276641,-0.0444913466843687,0.06644471588987677,10000,42
BETO,Qwen2.5-7B,0.6176105828854899,0.6117570670254566,0.005853515860033243,0.005994553479866622,-0.04940164118249931,0.061638208313773486,10000,42
BETO,RoBERTuito,0.6176105828854899,0.6225324987963409,-0.004921915910851005,-0.00475603152741002,-0.050257467473777725,0.03972095265997605,10000,42
