model_a,model_b,n_instances,n_agreements,n_disagreements,agreement_rate,cohen_kappa
BETO,RoBERTuito,400,327,73,0.8175,0.5866364665911665
GPT-4.1-mini,GPT-4o-mini,400,323,77,0.8075,0.6196215975892901
GPT-4o-mini,Qwen2.5-7B,400,295,105,0.7375,0.4494835631520999
BETO,Qwen2.5-7B,400,295,105,0.7375,0.35551190768475316
RoBERTuito,Qwen2.5-7B,400,292,108,0.73,0.3514487314217085
RoBERTuito,GPT-4o-mini,400,285,115,0.7125,0.40767447849600824
SVM,BETO,400,284,116,0.71,0.33638443935926776
SVM,RoBERTuito,400,275,125,0.6875,0.2947813822284908
BETO,GPT-4o-mini,400,274,126,0.685,0.3489045059942125
SVM,Qwen2.5-7B,400,271,129,0.6775,0.21317474839890205
GPT-4.1-mini,Qwen2.5-7B,400,262,138,0.655,0.35485379023398234
RoBERTuito,GPT-4.1-mini,400,262,138,0.655,0.33900131720752
BETO,GPT-4.1-mini,400,249,151,0.6225,0.2799923707800879
SVM,GPT-4o-mini,400,246,154,0.615,0.20495611770779554
SVM,GPT-4.1-mini,400,229,171,0.5725,0.1835760324659823
