domain,diagnostic_dimension,n_true,n_domain_unanimous_errors,percentage_of_domain_unanimous_errors
lgbt,mixed_communicative_stance,2,3,66.66666666666666
lgbt,annotation_ambiguity,1,3,33.33333333333333
lgbt,informational_or_context_dependent_discourse,1,3,33.33333333333333
lgbt,implicit_supportive_intent,0,3,0.0
lgbt,irony_or_sarcasm,0,3,0.0
lgbt,sociocultural_reference,0,3,0.0
obesity,annotation_ambiguity,4,7,57.14285714285714
obesity,implicit_supportive_intent,4,7,57.14285714285714
obesity,informational_or_context_dependent_discourse,3,7,42.857142857142854
obesity,mixed_communicative_stance,3,7,42.857142857142854
obesity,sociocultural_reference,2,7,28.57142857142857
obesity,irony_or_sarcasm,1,7,14.285714285714285
racism,implicit_supportive_intent,5,6,83.33333333333334
racism,informational_or_context_dependent_discourse,2,6,33.33333333333333
racism,mixed_communicative_stance,2,6,33.33333333333333
racism,annotation_ambiguity,1,6,16.666666666666664
racism,sociocultural_reference,1,6,16.666666666666664
racism,irony_or_sarcasm,0,6,0.0
