primary_error_phenomenon,secondary_error_phenomenon,n_instances,percentage_of_all_instances,percentage_of_instances_with_secondary
implicit_supportive_intent,mixed_or_contrastive_communicative_stance,3,18.75,25.0
annotation_boundary_case,figurative_or_ironic_language,1,6.25,8.333333333333332
annotation_boundary_case,informational_supportive_content,1,6.25,8.333333333333332
annotation_boundary_case,mixed_or_contrastive_communicative_stance,1,6.25,8.333333333333332
context_dependent_or_sociocultural_reference,implicit_supportive_intent,1,6.25,8.333333333333332
context_dependent_or_sociocultural_reference,lexical_cue_mismatch,1,6.25,8.333333333333332
implicit_supportive_intent,counter_speech_or_prejudice_rebuttal,1,6.25,8.333333333333332
informational_or_context_dependent_discourse,implicit_supportive_intent,1,6.25,8.333333333333332
informational_or_context_dependent_discourse,quoted_or_attributed_supportive_content,1,6.25,8.333333333333332
mixed_or_contrastive_communicative_stance,counter_speech_or_prejudice_rebuttal,1,6.25,8.333333333333332
